ItemNum,Procedure,topleft,topright,botleft,botright,CRESP,TrialType,WordType,PartofSpeech,TargetLocation
1,showtrial,mousse,cake,pie,fudge,mousse,Practice,HI_LF_Irr,Noun,topleft
2,showlastpractice,swim,run,dance,climb,climb,Practice,HI_HF_Irr,Verb,botright
3,showtrial,gnome,witch,ghost,troll,witch,Real,HI_HF_Reg,Noun,topright
4,showtrial,chrome,cork,wood,stone1,chrome,Real,HI_LF_Irr,Noun,topleft
5,showtrial,red,blue,black,green,black,Real,HI_HF_Reg,Noun,botleft
6,showtrial,paint,draw,weave,sew,sew,Real,HI_LF_Irr,Verb,botright
7,showtrial,horse,pig,sheep,goat,horse,Real,HI_HF_Reg,Noun,topleft
8,showtrial,train,bus,boat,car,boat,Real,HI_HF_Reg,Noun,botleft
9,showtrial,dice,pawn,chip,tile,pawn,Real,HI_LF_Reg,Noun,topright
10,showtrial,sailboat,ship,yacht,raft,yacht,Real,HI_LF_Irr,Noun,botleft
11,showtrial,heart,star,cross,square,heart,Real,HI_HF_Irr,Noun,topleft
12,showtrial,flood,storm,fire,drought,flood,Real,HI_LF_Irr,Noun,topleft
13,showtrial,chalk,hoop,kite,bat,hoop,Real,HI_LF_Reg,Noun,topright
14,showtrial,fish2,sponge,sand,shell,shell,Real,HI_HF_Reg,Noun,botright
15,showtrial,grape,squash,peach2,lime,grape,Real,HI_LF_Reg,Noun,topleft
16,showtrial,arm,knee,foot,hand,foot,Real,HI_HF_Irr,Noun,botleft
17,showtrial,swamp,plain,woods,beach,beach,Real,HI_HF_Reg,Noun,botright
18,showtrial,smell,touch,look,hear,touch,Real,HI_HF_Irr,Verb,topright
19,showtrial,mug,jug,flask,jar,flask,Real,HI_LF_Reg,Noun,botleft
20,showtrial,comb,soap,brush,floss,comb,Real,HI_LF_Irr,Noun,topleft
21,showtrial,fig,corn,peach1,plum,plum,Real,HI_LF_Reg,Noun,botright
22,showtrial,suede,wool,lace,silk,wool,Real,HI_LF_Irr,Noun,topright
23,showtrial,axe1,knife,saw1,sword,sword,Real,HI_HF_Irr,Noun,botright
24,showtrial,toast,fruit,egg,oats,toast,Real,HI_HF_Reg,Noun,topleft
25,showtrial,dog,wolf,fox2,skunk,wolf,Real,HI_HF_Irr,Noun,topright
26,showtrial,lock,latch,knob,hinge,hinge,Real,HI_LF_Reg,Noun,botright
27,showtrial,dress,skirt,shirt,pants,shirt,Real,HI_HF_Reg,Noun,botleft
28,showtrial,fin,paw1,claw1,hoof,hoof,Real,HI_LF_Irr,Noun,botright
29,showtrial,class,choir,team,scouts,choir,Real,HI_LF_Irr,Noun,topright
30,showtrial,bowl,plate,pot,glass,bowl,Real,HI_HF_Irr,Noun,topleft
31,showtrial,eel,clam,crab,squid,crab,Real,HI_LF_Reg,Noun,botleft
32,showtrial,rake,hoe,axe,saw2,axe,Real,HI_LF_Irr,Noun,botleft
33,showtrial,fish1,steak,crab1,ham,steak,Real,HI_HF_Irr,Noun,topright
34,showtrial,tree,moss1,bush,grass,bush,Real,HI_HF_Irr,Noun,botleft
35,showtrial,yell,sing,laugh,cry,yell,Real,HI_HF_Reg,Verb,topleft
36,showtrial,ear,wing,paw2,tail,wing,Real,HI_HF_Reg,Noun,topright
37,showtrial,box,tank,crate,bin,crate,Real,HI_LF_Reg,Noun,botleft
38,showtrial,mulch,stone2,straw,moss2,mulch,Real,HI_LF_Reg,Noun,topleft
39,showtrial,nurse,judge,coach,chef,chef,Real,HI_HF_Irr,Noun,botright
40,showtrial,cone,wedge,cube,sphere,wedge,Real,HI_LF_Reg,Noun,topright
41,showtrial,bear,deer,fox1,moose,bear,Real,HI_HF_Irr,Noun,topleft
42,showtrial,sock,glove,shoe,vest,shoe,Real,HI_HF_Irr,Noun,botleft
43,showtrial,stripes,scales,swirl,plaid,plaid,Real,HI_LF_Irr,Noun,botright
44,showtrial,goose,crow,owl,duck,crow,Real,HI_LF_Irr,Noun,topright
45,showtrial,nose,chin,teeth,tongue,tongue,Real,HI_HF_Irr,Noun,botright
46,showtrial,wink,smile,yawn,sneeze,wink,Real,HI_LF_Reg,Verb,topleft
47,showtrial,watch,scarf,tie,belt,belt,Real,HI_HF_Reg,Noun,botright
48,showtrial,lift,crane,rig,plow,crane,Real,HI_HF_Reg,Noun,topright
49,showtrial,grape1,plum1,pear,beet,pear,Real,HI_LF_Irr,Noun,botleft
50,showtrial,fang,tusk,beak,claw,claw,Real,HI_LF_Reg,Noun,botright
