,Item
0,drill
1,kouse
2,skirp
3,thumb
4,toast
5,belve
6,rough
7,hoap
8,sown
9,twelve
10,furch
11,sieve
12,arc
13,sledge
14,vage
15,brooch
16,dofe
17,shell
18,bame
19,chool
20,yacht
21,frood
22,polb
23,first
24,shike
25,ewe
26,stail
27,black
28,soot
29,thyme
30,slear
31,bowl
32,dough
33,pove
34,craze
35,steel
36,trait
37,somb
38,grape
39,sit
40,dumb
41,stiend
42,wown
43,maich
44,dense
45,clow
46,hinge
47,poal
48,sew
49,pike
50,zon
51,weird
52,tuve
53,blown
54,breech
55,crisk
56,flood
57,hate
58,praud
59,break
60,farc
61,coup
62,bike
63,reap
64,brane
65,ghoul
66,treap
67,pake
68,hour
69,wool
70,help
71,wribe
72,sheer
73,froum
74,kard
75,womb
76,crilp
77,duave
78,strisk
79,isle
80,mest
81,nink
82,chef
83,heart
84,pouth
85,bored
86,threat
87,slack
88,dut
89,fron
90,doubt
91,witch
92,stole
93,glown
94,zask
95,deach
96,tongue
97,serve
98,fache
99,climb
100,fove
101,seize
102,touch
103,hoth
104,searth
105,bough
106,scheme
107,bote
108,lurch
109,dack
110,wish
111,phron
112,nored
113,wike
114,deaf
115,page
116,ail
117,crole
118,bield
119,tour
120,lose
121,prief
122,soat
123,ton
124,dask
125,blirst
126,crude
127,seart
128,hoof
129,rish
130,pear
131,trow
132,wust
133,noug
134,pint
135,mauve
136,hedge
137,meard
138,yield
139,wousse
140,hauge
141,pown
142,foot
143,crast
144,stow
145,plear
146,flask
147,plede
148,soil
149,doose
150,reat
151,lail
152,pawn
153,glind
154,gead
155,son
156,dearth
157,bredge
158,must
159,voot
160,pilt
161,fraud
162,death
163,lowl
164,theme
165,flude
166,slept
167,bless
168,clate
169,send
170,tace
171,vour
172,greird
173,cough
174,yame
175,phase
176,bieve
177,caup
178,tolf
179,wear
180,turge
181,awe
182,doad
183,spumb
184,chic
185,plaw
186,ning
187,trust
188,bolg
189,derve
190,loul
191,claw
192,friend
193,put
194,grour
195,learse
196,hark
197,wrote
198,drate
199,sword
200,zuede
201,trough
202,desc
203,shape
